class_start	class_end
2003-09-02	2003-11-26
2003-12-01	2003-12-10
2004-01-06	2004-02-21
2004-03-01	2004-04-21
2004-09-07	2004-11-24
2004-11-29	2004-12-14
2005-01-05	2005-02-26
2005-03-07	2005-04-19
2005-09-06	2005-11-23
2005-11-28	2005-12-13
2006-01-05	2006-02-25
2006-03-06	2006-04-18
2006-09-05	2006-11-22
2006-11-27	2006-12-13
2007-01-04	2007-02-24
2007-03-05	2007-04-17
2007-09-04	2007-11-21
2007-11-26	2007-12-11
2008-01-03	2008-02-23
2008-03-03	2008-04-15
2008-09-02	2008-11-26
2008-12-01	2008-12-09
2009-01-07	2009-02-21
2009-03-02	2009-04-21
2009-09-08	2009-11-25
2009-11-30	2009-12-14
2010-01-06	2010-02-27
2010-03-08	2010-04-20
2010-09-07	2010-11-24
2010-11-29	2010-12-13
2011-01-05	2011-02-26
2011-03-07	2011-04-19
2011-09-06	2011-11-23
2011-11-28	2011-12-13
2012-01-04	2012-02-25
2012-03-05	2012-04-17
2012-09-04	2012-11-21
2012-11-26	2012-12-11
2013-01-09	2013-03-02
2013-03-11	2013-04-23
2013-09-03	2013-11-27
2013-12-02	2013-12-11
2014-01-08	2014-03-01
2014-03-10	2014-04-22
2014-09-02	2014-11-26
2014-12-01	2014-12-10
2015-01-07	2015-02-28
2015-03-09	2015-04-21
2015-09-08	2015-11-25
2015-11-30	2015-12-14
2016-01-06	2016-02-27
2016-03-07	2016-04-18
2016-09-06	2016-11-23
2016-11-28	2016-12-13
2017-01-04	2017-02-25
2017-03-06	2017-04-18
2017-09-05	2017-11-22
2017-11-27	2017-12-12
2018-01-03	2018-02-24
2018-03-05	2018-04-17
2018-09-04	2018-11-21
